"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset","n_cluster","name","kNN_acc","lin_acc","stat_acc"
"decent-glade-78","crashed","-","matteoferrante","","2022-08-12T22:43:01.000Z","188","","pneumonia","10","GMVAE","0.6730769230769231","0.5128205128205128","0.625"
"noble-puddle-63","finished","-","matteoferrante","","2022-08-12T22:21:28.000Z","2051","","MNIST","","GMVAE","0.9062","0.9086","0.7615"
"bumbling-sound-9","crashed","-","matteoferrante","","2022-08-08T02:59:17.000Z","81404","","pneumonia","","GMVAE","0.6826923076923077","0.5288461538461539","0.625"
"deft-plasma-75","crashed","-","matteoferrante","","2022-08-12T22:40:16.000Z","154","","pneumonia","10","GMVAE","0.5977564102564102","0.3782051282051282","0.625"
"fearless-cherry-87","crashed","-","matteoferrante","","2022-08-12T22:54:07.000Z","260","","pneumonia","10","GMVAE","0.6025641025641025","0.3766025641025641","0.625"
"soft-dream-50","finished","-","matteoferrante","","2022-08-12T21:53:42.000Z","1658","","MNIST","","GMVAE","0.9062","0.9086","0.7615"
"youthful-yogurt-90","running","-","matteoferrante","","2022-08-12T22:58:34.000Z","791","","pneumonia","10","GMVAE","0.6041666666666666","0.4166666666666667","0.625"
"devoted-river-80","finished","-","matteoferrante","","2022-08-12T22:46:17.000Z","212","","pneumonia","10","GMVAE","0.6121794871794872","0.421474358974359","0.625"
"classic-grass-70","finished","-","matteoferrante","","2022-08-12T22:34:02.000Z","209","","pneumonia","10","GMVAE","0.5881410256410257","0.33653846153846156","0.625"
"sandy-grass-68","crashed","-","matteoferrante","","2022-08-12T22:27:55.000Z","360","","pneumonia","10","GMVAE","0.6714743589743589","0.4375","0.625"
"wandering-dragon-73","crashed","-","matteoferrante","","2022-08-12T22:37:40.000Z","149","","pneumonia","10","GMVAE","0.5737179487179487","0.41025641025641024","0.625"
"trim-capybara-88","running","-","matteoferrante","","2022-08-12T22:55:47.000Z","970","","MNIST","","GMVAE","","",""
"rose-shadow-83","finished","-","matteoferrante","","2022-08-12T22:49:57.000Z","242","","pneumonia","10","GMVAE","0.6682692307692307","0.47435897435897434","0.625"
"firm-aardvark-4","finished","-","matteoferrante","","2022-08-07T17:40:39.000Z","34212","","MNIST","","GMVAE","0.9062","0.9086","0.7615"
"classic-snowflake-44","finished","-","matteoferrante","","2022-08-12T21:42:22.000Z","16","","pneumonia","15","VAEKMEANS","0.6217948717948718","0.48878205128205127","0.6458333333333334"
"valiant-mountain-13","crashed","-","matteoferrante","","2022-08-12T19:33:31.000Z","219","","MNIST","20","VAEKMEANS","0.7923","0.7572","0.6806"
"stoic-shape-28","finished","-","matteoferrante","","2022-08-12T20:46:57.000Z","540","","MNIST","20","VAEKMEANS","0.8036","0.7578","0.7025"
"ancient-sky-43","crashed","-","matteoferrante","","2022-08-12T21:41:23.000Z","14","","pneumonia","18","VAEKMEANS","0.6410256410256411","0.4775641025641026","0.625"
"iconic-yogurt-45","finished","-","matteoferrante","","2022-08-12T21:43:22.000Z","249","","pneumonia","15","VAEKMEANS","0.6137820512820513","0.5096153846153846","0.625"
"charmed-sound-15","crashed","-","matteoferrante","","2022-08-12T19:43:02.000Z","40","","MNIST","20","VAEKMEANS","0.8013","0.7667","0.6774"
"iconic-jazz-21","finished","-","matteoferrante","","2022-08-12T20:20:38.000Z","57","","MNIST","20","VAEKMEANS","0.8001","0.759","0.6878"
"volcanic-monkey-38","finished","-","matteoferrante","","2022-08-12T21:13:12.000Z","670","","pneumonia","15","VAEKMEANS","0.5993589743589743","0.40865384615384615","0.625"
"polished-haze-37","finished","-","matteoferrante","","2022-08-12T21:11:34.000Z","56","","pneumonia","15","VAEKMEANS","0.6201923076923077","0.4358974358974359","0.625"
"desert-frog-16","finished","-","matteoferrante","","2022-08-12T19:49:28.000Z","432","","MNIST","20","VAEKMEANS","0.8","0.7596","0.6738"
"clear-sunset-19","finished","-","matteoferrante","","2022-08-12T20:08:30.000Z","453","","MNIST","20","VAEKMEANS","0.8065","0.7622","0.678"
"still-blaze-48","finished","-","matteoferrante","","2022-08-12T21:48:13.000Z","306","","pneumonia","15","VAEKMEANS","0.594551282051282","0.44711538461538464","0.6586538461538461"
"unique-frog-18","crashed","-","matteoferrante","","2022-08-12T20:01:06.000Z","176","","MNIST","20","VAEKMEANS","0.8015","0.7623","0.6915"
"eternal-lion-36","crashed","-","matteoferrante","","2022-08-12T21:09:10.000Z","97","","pneumonia","15","VAEKMEANS","0.5993589743589743","0.4310897435897436","0.6330128205128205"
"colorful-jazz-22","crashed","-","matteoferrante","","2022-08-12T20:26:20.000Z","240","","MNIST","20","VAEKMEANS","0.7973","0.7668","0.6589"
"wise-totem-26","finished","-","matteoferrante","","2022-08-12T20:40:32.000Z","86","","MNIST","20","VAEKMEANS","0.8044","0.7622","0.674"
"firm-voice-31","finished","-","matteoferrante","","2022-08-12T20:56:40.000Z","254","","pneumonia","20","VAEKMEANS","0.6185897435897436","0.42948717948717946","0.625"
"rosy-durian-40","crashed","-","matteoferrante","","2022-08-12T21:25:02.000Z","943","","pneumonia","15","VAEKMEANS","0.625","0.4551282051282051","0.625"
"vague-aardvark-33","finished","-","matteoferrante","","2022-08-12T21:01:33.000Z","418","","pneumonia","15","VAEKMEANS","0.6009615384615384","0.40865384615384615","0.625"
"decent-microwave-25","finished","-","matteoferrante","","2022-08-12T20:34:51.000Z","45","","MNIST","20","VAEKMEANS","0.8076","0.7511","0.7019"
"swift-plasma-29","crashed","-","matteoferrante","","2022-08-12T20:47:51.000Z","310","","MNIST","40","VAESIM","0.9658","0.8537","0.8406"
"gallant-dust-24","crashed","-","matteoferrante","","2022-08-12T20:31:12.000Z","305","","MNIST","40","VAESIM","0.9666","0.8584","0.8293"
"efficient-shape-27","finished","-","matteoferrante","","2022-08-12T20:41:39.000Z","51","","MNIST","40","VAESIM","0.9674","0.8611","0.8379"
"balmy-forest-79","finished","-","matteoferrante","","2022-08-12T22:44:08.000Z","108","","pneumonia","40","VAESIM","0.7987804878048781","0.6611498257839721","0.6785714285714286"
"dark-plant-46","finished","-","matteoferrante","","2022-08-12T21:45:38.000Z","91","","MNIST","40","VAESIM","0.9672","0.861","0.8285"
"clean-pine-42","finished","-","matteoferrante","","2022-08-12T21:30:11.000Z","638","","MNIST","40","VAESIM","0.9684","0.8561","0.8333"
"ancient-armadillo-95","running","-","matteoferrante","","2022-08-12T23:11:34.000Z","29","","pneumonia","40","VAESIM","0.730836236933798","0.6689895470383276","0.6785714285714286"
"vital-smoke-93","running","-","matteoferrante","","2022-08-12T23:06:48.000Z","42","","pneumonia","40","VAESIM","0.8022648083623694","0.686411149825784","0.6777003484320557"
"legendary-field-72","finished","-","matteoferrante","","2022-08-12T22:36:56.000Z","123","","pneumonia","40","VAESIM","0.7883275261324042","0.6559233449477352","0.6777003484320557"
"desert-hill-94","finished","-","matteoferrante","","2022-08-12T23:09:26.000Z","16","","pneumonia","40","VAESIM","0.7674216027874564","0.6707317073170732","0.6785714285714286"
"worldly-sunset-82","crashed","-","matteoferrante","","2022-08-12T22:47:51.000Z","56","","pneumonia","40","VAESIM","0.8144599303135889","0.6777003484320557","0.6785714285714286"
"jumping-snow-91","crashed","-","matteoferrante","","2022-08-12T22:59:01.000Z","123","","pneumonia","40","VAESIM","0.7578397212543554","0.676829268292683","0.6777003484320557"
"dulcet-feather-51","running","-","matteoferrante","","2022-08-12T21:59:38.000Z","4342","","MNIST","40","VAESIM","0.9683","0.8606","0.8338"
"lively-valley-86","crashed","-","matteoferrante","","2022-08-12T22:54:04.000Z","184","","pneumonia","40","VAESIM","0.7665505226480837","0.6698606271777003","0.6750871080139372"
"dulcet-butterfly-84","crashed","-","matteoferrante","","2022-08-12T22:50:36.000Z","101","","pneumonia","40","VAESIM","0.7796167247386759","0.6672473867595818","0.6785714285714286"
"noble-grass-34","crashed","-","matteoferrante","","2022-08-12T21:05:47.000Z","168","","MNIST","40","VAESIM","0.9667","0.8562","0.8366"
"spring-lion-49","crashed","-","matteoferrante","","2022-08-12T21:51:50.000Z","172","","MNIST","40","VAESIM","0.9682","0.8571","0.8435"
"charmed-galaxy-92","crashed","-","matteoferrante","","2022-08-12T23:03:04.000Z","113","","pneumonia","40","VAESIM","0.7508710801393729","0.6750871080139372","0.6785714285714286"
"confused-pyramid-39","finished","-","matteoferrante","","2022-08-12T21:13:29.000Z","725","","MNIST","40","VAESIM","0.9659","0.8539","0.8146"
"quiet-blaze-32","crashed","-","matteoferrante","","2022-08-12T20:57:51.000Z","199","","MNIST","40","VAESIM","0.9655","0.8561","0.8379"
"glowing-butterfly-11","finished","-","matteoferrante","","2022-08-12T19:05:25.000Z","918","","MNIST","10","VaDE","0.9667","0.9256","0.7474"
"atomic-sky-69","finished","-","matteoferrante","","2022-08-12T22:29:56.000Z","247","","pneumonia","2","VaDE","0.7708333333333334","0.7403846153846154","0.625"
